source_alias,best_match,score,note
Provedel,Good Old Boys,0.366,rapidfuzz
Pulisic,AS Plusvalenza,0.386,rapidfuzz
Rabiot,AS Quiriti,0.400,rapidfuzz
Ricci S.,Atletico Milo,0.338,rapidfuzz
Rom,Atletico Milo,0.450,rapidfuzz
Romagnoli,FC Bioparco,0.300,rapidfuzz
Rose lega Fantalega Darko Pancev,FC Bioparco,0.475,rapidfuzz
Rovella,AS Plusvalenza,0.386,rapidfuzz
Rowe,Atletico Milo,0.360,rapidfuzz
Rrahmani,FC Pachuca,0.333,rapidfuzz
Ruolo,Atletico Milo,0.514,rapidfuzz
Saelemaekers,AS Plusvalenza,0.385,rapidfuzz
Samardzic,AS Quiriti,0.316,rapidfuzz
Sanabria,AS Plusvalenza,0.386,rapidfuzz
Sarr A.,AS Plusvalenza,0.380,rapidfuzz
Sas,AS Plusvalenza,0.450,rapidfuzz
Scalvini,AS Plusvalenza,0.386,rapidfuzz
Scamacca,FC Pachuca,0.444,rapidfuzz
Simeone,Atletico Milo,0.360,rapidfuzz
Skorupski,AS Plusvalenza,0.338,rapidfuzz
Sohm,Atletico Milo,0.360,rapidfuzz
Solet,Atletico Milo,0.540,rapidfuzz
Sommer,Nova Spes,0.360,rapidfuzz
Sottil,AS Quiriti,0.450,rapidfuzz
Soulè,AS Plusvalenza,0.360,rapidfuzz
Squadra,AS Plusvalenza,0.381,rapidfuzz
Stanciu,Atletico Milo,0.386,rapidfuzz
Stengs,Nova Spes,0.540,rapidfuzz
Strefezza,AS Plusvalenza,0.415,rapidfuzz
Stulic,Atletico Milo,0.600,rapidfuzz
Sucic P.,AS Plusvalenza,0.450,rapidfuzz
Sulemana K.,AS Plusvalenza,0.480,rapidfuzz
Svilar,AS Quiriti,0.450,rapidfuzz
Tavares N.,Nova Spes,0.500,rapidfuzz
Thauvin,AS Plusvalenza,0.386,rapidfuzz
Thorstvedt,Nova Spes,0.316,rapidfuzz
Thuram,FC Pachuca,0.540,rapidfuzz
Thuram K.,FC Pachuca,0.400,rapidfuzz
Tomori,Good Old Boys,0.400,rapidfuzz
Tor,Atletico Milo,0.450,rapidfuzz
Tourè I.,AS Quiriti,0.317,rapidfuzz
Tramoni M.,AS Quiriti,0.285,rapidfuzz
Valeri,AS Plusvalenza,0.450,rapidfuzz
Vandeputte,Nova Spes,0.316,rapidfuzz
Vardy,y,0.900,rapidfuzz
Vazquez,AS Plusvalenza,0.415,rapidfuzz
Ver,FC Dude,0.450,rapidfuzz
Vlahovic,Atletico Milo,0.360,rapidfuzz
Vlasic,Atletico Milo,0.450,rapidfuzz
Wesley,y,0.900,rapidfuzz
Yildiz,Good Old Boys,0.427,rapidfuzz
Zaccagni,FC Pachuca,0.444,rapidfuzz
Zalewski,AS Plusvalenza,0.386,rapidfuzz
Zambo Anguissa,AS Plusvalenza,0.339,rapidfuzz
Zaniolo,Atletico Milo,0.540,rapidfuzz
Zapata D.,FC Pachuca,0.300,rapidfuzz
Zappacosta,FC Bioparco,0.381,rapidfuzz
Zerbin,AS Plusvalenza,0.360,rapidfuzz
Zhegrova,Nova Spes,0.353,rapidfuzz
Zortea,AS Plusvalenza,0.360,rapidfuzz
fc Pachuca,FC Pachuca,0.800,rapidfuzz
https://leghe.fantacalcio.it/fantalega-darko-pancev,FC Bioparco,0.379,rapidfuzz
